potential filter/tag,Event Title,"Start Time (month, offset year)",Associated preparation items TITLE,Associated preparation items TIME,Modal materials DESCRIPTION
Other,Gap year,January 2023,"Identify a program, apply, accept & choose","January 2023, March 2023, May 2023",https://thinkingbeyondborders.org/choosing-gap-year-program-2019/
Education,"College (2 year, 4 year, Community, Public, Private)",September 2021,"SAT or ACT, SAT 2's, Choose where you will apply, Fill out Common Application (application essays, reccomendations, grades), FAFSA, Apply (EA/ED/RD), Accept & Choose","September 2021, January 2022, June 2022, September 2022, September 2022, November 2022, May 2023",https://www.commonapp.org/why-go-college
Education,"Trade School (Mechanic, Culinary, Circus, Education)",December 2022,"Identify a trade school, apply, accept & choose","December 2022, January 2023, May 2023",https://www.trade-schools.net/programs.asp
Service,Army,June 2023,"Take and pass the ASVAB, pass a medical exam, attend boot camp, attend military academy, become an officer","June 2023, June 2023, July 2023, August 2023",https://www.military.com/join-armed-forces/army-recruiting-faqs.html#quals
Service,Mission trip,May 2023,"Identify prefered trip and location, secure funding","May 2023, June 2023",https://www.volunteerhq.org/mission-trips/
Job,Internship,December 2022,"Identify prefered career/industry and location, apply to internships (resume, references), interview, accept & choose","December 2022, January 2023, March 2023, April 2023",https://www.internships.com/intern-jobs-search
Job,Part-time Job,September 2022,"Identify prefered career/industry and location, apply to jobs (resume & references), interview, accept & choose","December 2022, January 2023, March 2023, April 2023","https://www.indeed.com/q-Part-Time-l-Lebanon,-NH-jobs.html"
Job,Full-time Job,September 2022,"Identify prefered career/industry and location, apply to jobs (resume & references), interview, accept & choose","September 2022, November 2022, December 2022, February 2023",https://www.indeed.com/q-Full-Time-jobs.html
Travel,Travel,May 2023,"Secure funding, Secure lodging","May 2023, June 2023",https://jobs.goabroad.com/
Other,Professional Sports,June 2022,"Meet with sports agents, get recruited, sign a contract","June 2022, August 2022, September 2022",https://www.ncsasports.org/recruiting/how-to-get-recruited/early-scholarship-offers
Education,Post-Graduate Year,December 2022,"Apply to independent schools, accept & choose","December 2022, March 2023",https://www.usnews.com/education/blogs/high-school-notes/2015/05/04/13th-grade-offers-some-teens-an-easier-transition-to-college
"Travel, Service",WWOOF,January 2023,"Identify location, apply, accept & choose","January 2023, March 2023, May 2023",http://wwoof.net/
Job,Start a Startup,May 2023,"Come up with an idea, build out the idea, secure funding","May 2023, June 2023, September 2023",http://www.paulgraham.com/start.html
